link,name,value,var,datetime,max,min
https://cincodias.elpais.com/mercados/empresas/lingotes-especiales/,Lingotes Especiales,"5,3000","+1,92%",2025-12-02 18:57:05,"5,4000","4,9200"
https://cincodias.elpais.com/mercados/empresas/logista/,Logista Integ,"29,660","+0,27%",2025-12-02 18:57:05,"29,820","29,600"
https://cincodias.elpais.com/mercados/empresas/merlin-properties/,MERLIN Prop.,"12,630","-0,55%",2025-12-02 18:57:05,"12,780","12,610"
https://cincodias.elpais.com/mercados/empresas/mfe-media/,MFE-MEDIA,"3,0100","-1,50%",2025-12-02 18:57:05,"3,0200","3,0040"
https://cincodias.elpais.com/mercados/empresas/mapfre/,Mapfre,"4,0500","+0,54%",2025-12-02 18:57:05,"4,0600","4,0120"
https://cincodias.elpais.com/mercados/empresas/melia-hotels/,Melia Hotels,"7,2400","-1,49%",2025-12-02 18:57:05,"7,3600","7,2000"
https://cincodias.elpais.com/mercados/empresas/metrovacesa/,Metrovacesa,"11,300","-0,87%",2025-12-02 18:57:05,"11,650","11,300"
https://cincodias.elpais.com/mercados/empresas/miquel-y-costas/,Miquel y Costas,"14,250","+2,15%",2025-12-02 18:57:05,"14,250","13,900"
https://cincodias.elpais.com/mercados/empresas/montebalito/,Montebalito,"1,7100","-2,28%",2025-12-02 18:57:05,"1,7500","1,7100"
https://cincodias.elpais.com/mercados/empresas/naturgy/,Naturgy Grp,"27,040","+1,80%",2025-12-02 18:57:05,"27,040","26,480"
https://cincodias.elpais.com/mercados/empresas/naturhouse/,Naturhouse,"2,1200","+0,95%",2025-12-02 18:57:05,"2,1800","2,1000"
https://cincodias.elpais.com/mercados/empresas/neinor-homes/,Neinor Homes,"18,320","+0,21%",2025-12-02 18:57:05,"18,540","18,260"
https://cincodias.elpais.com/mercados/empresas/nicolas-correa/,Nicolas Correa,"9,3400","-1,47%",2025-12-02 18:57:05,"9,5000","9,3000"
https://cincodias.elpais.com/mercados/empresas/nueva-expresion-textil/,Nueva Expr Text,"0,8120","-0,24%",2025-12-02 18:57:05,"0,8380","0,8120"
https://cincodias.elpais.com/mercados/empresas/nyesa-valores/,Nyesa Valores,"0,0072","-2,70%",2025-12-02 18:57:05,"0,0076","0,0068"
https://cincodias.elpais.com/mercados/empresas/ohl/,Obr Huarte Lain,"0,3705","+4,66%",2025-12-02 18:57:05,"0,3750","0,3540"
https://cincodias.elpais.com/mercados/empresas/oryzon-genomics/,Oryzon Genomics,"3,1800","-2,45%",2025-12-02 18:57:05,"3,3000","3,1700"
https://cincodias.elpais.com/mercados/empresas/prisa/,PRISA,"0,3700","+1,92%",2025-12-02 18:57:05,"0,3770","0,3700"
https://cincodias.elpais.com/mercados/empresas/pescanova/,Pescanova,"0,2800","0,00%",2025-12-02 18:57:05,"0,2900","0,2800"
https://cincodias.elpais.com/mercados/empresas/pharma-mar/,Pharma Mar,"72,850","-0,41%",2025-12-02 18:57:05,"73,700","72,550"
https://cincodias.elpais.com/mercados/empresas/prim/,Prim,"13,700","+2,23%",2025-12-02 18:57:05,"13,800","13,050"
